FID,distance_before
217,102.317088
218,89.10146967
219,916.1713883
220,667.006011
221,112.5439444
222,462.5654838
223,381.8941324
224,738.6727691
225,618.8145841
226,1232.835569
227,1250.6949
228,776.6056997
229,719.4768885
230,102.8321614
231,1531.882607
232,1695.945394
233,953.1224629
234,1495.490888
235,1410.068845
236,934.0221942
237,1487.565478
238,965.9018733
239,742.310535
240,341.790015
241,1655.416992
242,635.4145396
243,1670.028135
244,137.2105332
245,215.449129
246,1670.487476
247,1802.776108
248,686.9252804
249,298.7277108
250,298.187583
251,793.4110388
252,710.8848414
253,1807.948653
254,1205.540742
255,1762.601246
256,594.8825695
257,96.93596666
258,453.1197306
259,772.990869
260,647.3953569
261,1471.129446
262,300.7296006
263,827.9913665
264,871.1034611
265,233.4365878
266,561.8629827
267,112.2550984
268,793.4759147
269,873.9513358
270,887.6480613
271,217.1964968
272,290.8222814
273,1010.048577
274,348.5507264
275,987.0074509
276,662.2913882
277,509.6480573
278,1197.005253
279,1758.98465
280,302.7120738
281,1360.731115
282,95.37097601
283,796.6211215
284,1089.736744
285,836.1121609
286,714.9495224
287,1263.102758
288,180.9277268
289,879.2630703
290,507.9993488
291,1815.141858
292,1265.758469
293,1009.237669
294,426.3020133
295,449.7643963
296,800.8046191
297,577.2023148
298,381.3706112
299,616.5384113
300,1269.042634
301,1672.569475
302,693.128529
303,395.552208
304,1370.640213
305,546.8406889
306,835.0881901
307,320.1080261
308,807.5182988
309,350.3319095
310,684.2991733
311,409.2820859
312,596.0976076
313,1759.867591
314,1295.652551
315,191.8860411
316,1656.196461
317,755.5539119
318,939.9071035
319,1593.634801
320,367.6457204
321,1208.857398
322,780.3032885
323,1776.64528
324,168.6870456
325,368.9707643
326,1705.475398
327,348.7020972
328,240.8728297
329,1538.909516
330,810.9108647
331,339.5286659
332,879.2961791
333,377.5452399
334,396.9336654
335,835.1592812
336,742.9550389
337,974.1099936
338,1558.815253
339,794.9046542
340,505.4380643
341,1596.907521
342,377.0065764
