FID,distance
165,778.7232386
166,940.7105861
167,1055.270471
168,825.9132493
169,910.4173756
170,902.0998205
171,987.8418959
172,912.3696565
173,996.7365794
174,903.9579404
175,782.6974941
176,965.9594173
177,946.0642255
178,871.2799999
179,791.6468385
180,868.8143399
181,987.6551216
182,917.2622191
183,989.5228211
184,949.1776656
185,949.2250213
186,910.8735245
187,1019.149204
188,897.5920998
189,877.1350701
190,939.1815491
191,846.149603
192,864.193109
193,988.33163
194,997.4100713
195,1026.031162
196,879.3773152
197,827.1576832
198,854.1674165
199,691.7970324
200,1038.838236
201,921.8207618
202,875.8000408
203,781.1859466
204,789.9842562
205,579.7237637
206,870.5969404
207,596.1907799
208,858.5483198
209,851.9078796
210,830.9617152
211,869.478911
212,924.7971932
213,749.7579481
214,1007.950878
215,832.0648969
216,908.8111528
217,1000.631477
218,773.8851957
219,860.9216679
220,715.5227685
221,768.8799926
222,960.6359283
223,913.5786719
224,793.9174323
225,919.745861
226,865.2535071
227,676.022114
228,836.5557889
229,1070.639714
230,770.7059181
231,691.291646
232,954.0426177
233,859.9256586
234,785.4122206
235,829.4056232
236,939.0035742
237,941.0867023
238,986.2020742
239,913.8671342
240,917.0678828
241,920.3068878
242,918.8559584
243,952.5823471
244,764.8690964
245,954.6010879
246,764.6256225
247,893.4406582
248,685.5393911
249,884.9365827
250,721.140797
251,835.6795766
252,1024.633355
253,881.1098331
254,906.5293532
255,946.297435
256,764.878159
257,1078.195132
258,912.9920684
259,1022.358969
260,873.9103569
261,846.1282374
262,824.2825801
263,832.8787481
264,987.9469044
265,999.081563
266,979.6875213
267,812.5266596
268,706.1889216
269,940.248573
270,782.1550981
271,754.137457
272,988.5371447
273,827.9138613
274,726.3791722
275,859.145962
276,792.5154993
277,939.7902434
278,927.6866055
279,969.2071913
280,1033.679877
281,860.0922069
282,772.301103
283,993.020155
284,814.2110394
285,629.7831516
286,945.2687256
287,922.2827874
288,758.7434768
289,909.3025253
290,1030.676262
291,865.7980653
292,848.9555417
293,747.8035702
294,953.0019538
295,958.0111277
296,911.6694528
297,982.5214151
298,1006.731405
299,1028.82766
300,822.4848711
301,794.6687239
302,841.5540568
303,1129.259785
304,781.0895155
305,976.894982
306,988.8348959
307,890.9319398
308,790.6753626
309,1001.998708
310,916.4165938
311,898.1508744
312,950.6470051
313,961.2013802
314,938.6937181
315,1043.760839
316,793.6620368
317,991.2052312
318,829.7370392
319,836.4836926
320,879.4072935
321,900.2008096
322,758.4323676
323,916.1326351
324,849.1477989
325,906.1448192
326,796.7835272
327,885.8902984
328,871.7196203
329,851.0495044
330,834.8110884
331,904.4574728
332,862.1012107
333,916.0818182
334,921.4659072
335,941.242939
336,838.438297
337,938.372156
338,710.21266
339,942.4321645
340,1006.823259
341,790.2717308
342,1097.94392
343,911.0036536
344,790.4175195
345,1046.460225
346,1041.43793
347,1021.798407
348,877.7946681
349,867.5240247
350,761.9269293
351,789.5735488
352,865.6409481
353,833.2820905
354,923.5225162
355,757.4209504
356,783.2765615
357,801.7759144
358,912.5716027
359,762.469728
360,604.9616455
361,978.2253356
362,822.5953739
363,780.2459839
364,1030.569511
