OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
174,57,2,8943.986078501113300
175,58,0,4023.361241081258400
176,58,1,7321.217779164529900
177,58,2,9860.991832913674400
178,59,0,3337.917110652900600
179,59,1,6469.616197695366300
180,59,2,8986.788042250751500
181,60,0,3634.415928855371900
182,60,1,7114.835317289626800
183,60,2,9707.654238116718300
184,61,0,3510.531856728025600
185,61,1,6766.611556345172200
186,61,2,9307.587126302261800
187,62,0,3619.569930932101200
188,62,1,6774.317068050224400
189,62,2,9288.045644421668800
190,63,0,3675.495001112122300
191,63,1,6939.256658207340500
192,63,2,9478.058597213801500
193,64,0,3465.926168340700300
194,64,1,6835.579756091513400
195,64,2,9404.432761493069800
196,65,0,3245.664278586489200
197,65,1,6470.883770796982400
198,65,2,9011.820085789326200
199,66,0,4053.347731076810800
200,66,1,7417.801985320337700
201,66,2,9974.582631606315800
202,67,0,3660.757705741510100
203,67,1,7072.451026975662000
204,67,2,9647.967833355760400
205,68,0,3382.873403620476400
206,68,1,6552.609134378741100
207,68,2,9077.000015999672500
208,69,0,3476.167242364726500
209,69,1,6771.843446492053800
210,69,2,9323.012845400528000
211,70,0,3576.255292172069400
212,70,1,6964.108330761752800
213,70,2,9535.257432668575300
214,71,0,3160.293842619033100
215,71,1,6224.358168626065900
216,71,2,8732.990354740853900
217,72,0,3455.599541273384600
218,72,1,6680.004834302139900
219,72,2,9214.952224127939200
220,73,0,3308.187935476612900
221,73,1,6454.476795489952600
222,73,2,8975.901346120806900
223,74,0,3592.547554397451200
224,74,1,6737.512278493025400
225,74,2,9249.699885544134300
226,75,0,3255.047540514805000
227,75,1,6259.448436980671400
228,75,2,8751.428559315318100
229,76,0,3721.581852111375600
230,76,1,6961.003103624148900
231,76,2,9492.675857453348700
232,77,0,3500.840307966312600
233,77,1,6905.190771066601900
234,77,2,9481.638720668655900
235,78,0,3497.661329370189800
236,78,1,6612.639676655731800
237,78,2,9120.714903094816700
238,79,0,3722.393723763579100
239,79,1,7019.820348048071500
240,79,2,9565.872180590024100
241,80,0,3227.520745469530100
242,80,1,6320.677845275540700
243,80,2,8833.097368185093700
244,81,0,4106.731616748503300
245,81,1,7445.438911952142900
246,81,2,9994.418871533913300
247,82,0,3867.952891392164000
248,82,1,7370.942326157047300
249,82,2,9966.529211979836000
250,83,0,3791.979765535769300
251,83,1,7278.412142607686300
252,83,2,9870.697668941174900
253,84,0,3545.037402989455600
254,84,1,6726.563862597222400
255,84,2,9248.898293499471000
256,85,0,3535.510804268516900
257,85,1,6915.322923246662000
258,85,2,9485.277750239025400
259,86,0,3419.625218174015100
260,86,1,6571.751509558219400
261,86,2,9090.961669038031700
262,87,0,3618.856914586041500
263,87,1,6940.396306159259400
264,87,2,9494.609141789718700
265,88,0,3728.556318450921000
266,88,1,7245.658636279167700
267,88,2,9846.417879846403600
268,89,0,3200.451325864469700
269,89,1,6306.939623358155600
270,89,2,8823.230530316952400
271,90,0,3691.716508971359400
272,90,1,7144.121307038447400
273,90,2,9729.229516161469300
274,91,0,3868.651334681047500
275,91,1,7244.498687157120000
276,91,2,9807.469339194705800
277,92,0,3515.250476664206000
278,92,1,6912.471016564349200
279,92,2,9486.963167864491000
280,93,0,3705.888496561906300
281,93,1,7011.120046742233200
282,93,2,9559.467414138578500
283,94,0,3822.667311433519900
284,94,1,7347.272882816813800
285,94,2,9948.889854554681700
286,95,0,3972.195497508339000
287,95,1,7425.974770946655600
288,95,2,10007.505609910948000
289,96,0,3413.859184278711400
290,96,1,6658.575350099293200
291,96,2,9199.362199360577500
292,97,0,3356.824934402251100
293,97,1,6539.320167503116900
294,97,2,9067.411196994444300
295,98,0,3255.823473191324900
296,98,1,6487.565491995733300
297,98,2,9029.668365252611700
298,99,0,3275.977760244742100
299,99,1,6437.904761963043700
300,99,2,8963.854721345029200
301,100,0,3331.191919029461600
302,100,1,6657.460297447720200
303,100,2,9219.022524003423300
304,101,0,3708.335388389805800
305,101,1,7152.699554455677600
306,101,2,9735.566206628394900
307,102,0,3197.489819599333300
308,102,1,6243.293861462266200
309,102,2,8746.564573774006900
310,103,0,3257.421088153338100
311,103,1,6428.489944114234300
312,103,2,8957.055582101857000
313,104,0,4174.873402624723000
314,104,1,7485.685640857899700
315,104,2,10025.887400734322000
