FID,ddd,dist
1173,871.7826631,265.7193557
4879,872.0547488,265.8022874
1381,872.1607895,265.8346086
2496,872.2889849,265.8736826
5789,872.2932166,265.8749724
2288,872.2997679,265.8769693
1266,872.3745745,265.8997703
5485,872.6211479,265.9749259
5389,872.6239979,265.9757946
1210,872.8564363,266.0466418
3965,872.9429417,266.0730086
5268,873.2939775,266.1800043
1796,873.6330052,266.28334
269,873.9513358,266.3803671
2710,874.0056949,266.3969358
1327,874.3436018,266.4999298
1456,874.4565009,266.5343415
4395,874.4998373,266.5475504
3723,874.6468102,266.5923477
4711,874.8933964,266.6675072
2484,875.239393,266.772967
2470,875.3782554,266.8152922
6004,875.4089782,266.8246566
1780,875.9657816,266.9943702
2933,876.0633521,267.0241097
1181,876.2247787,267.0733125
5665,876.425522,267.1344991
4838,876.4554941,267.1436346
773,876.713507,267.2222769
1845,876.7993423,267.2484395
5388,877.3051934,267.4026229
1537,877.3479472,267.4156543
547,877.5414347,267.4746293
3432,877.5440389,267.4754231
29,877.63275,267.5024622
2687,877.6480277,267.5071188
1550,877.6553017,267.509336
2639,877.6793953,267.5166797
647,877.8392063,267.5653901
3232,877.861741,267.5722587
1558,878.433328,267.7464784
957,878.5941785,267.7955056
101,878.9778023,267.9124341
289,879.2630703,267.9993838
332,879.2961791,268.0094754
2643,879.3486136,268.0254574
5655,879.5687689,268.0925608
560,879.634425,268.1125727
3000,879.6348582,268.1127048
793,879.8193397,268.1689348
609,879.8728982,268.1852594
3644,879.9014139,268.193951
70,880.0957652,268.2531892
5906,880.2004257,268.2850897
3984,880.9013221,268.498723
5279,881.0138522,268.5330221
1468,881.1418044,268.572022
2728,881.2781838,268.6135904
1885,881.3574846,268.6377613
5675,881.6959888,268.7409374
6153,881.7591482,268.7601884
4853,882.0761173,268.8568006
463,882.7456692,269.06088
2362,883.0476705,269.15293
3543,883.2109884,269.2027093
6313,883.2440077,269.2127735
2726,883.4434972,269.2735779
3491,883.4812008,269.28507
181,884.1964359,269.5030737
2219,884.511157,269.5990006
5658,885.1254685,269.7862428
1363,885.133302,269.7886305
4022,885.1703805,269.799932
2264,885.349766,269.8546087
4745,885.4655301,269.8898936
2953,885.475409,269.8929047
5742,885.7540712,269.9778409
2139,886.4200654,270.1808359
1510,886.59093,270.2329155
1328,886.9720214,270.3490721
1879,887.24233,270.4314622
270,887.6480613,270.5551291
6180,887.8985336,270.631473
5004,888.123853,270.7001504
801,888.1879712,270.7196936
5790,888.3094602,270.7567235
571,888.6640429,270.8648003
4084,888.8919256,270.9342589
736,889.3043613,271.0599693
1377,889.3959303,271.0878796
1405,889.488721,271.1161622
2261,889.6954994,271.1791882
1817,889.8169221,271.2161979
2225,890.1104545,271.3056665
1051,891.210549,271.6409753
4869,891.3153436,271.6729167
1947,891.5856035,271.7552919
2062,891.7492346,271.8051667
791,891.9499858,271.8663557
43,892.1792806,271.9362447
3666,892.1896232,271.9393971
1956,892.2840086,271.9681658
3849,892.7319229,272.1046901
536,892.7655867,272.1149508
1822,893.2297364,272.2564237
497,893.2673126,272.2678769
3294,894.0559532,272.5082545
701,894.3494633,272.5977164
5688,894.565499,272.6635641
1857,894.6204979,272.6803278
1112,894.7003156,272.7046562
61,894.9936592,272.7940673
3989,895.3558665,272.9044681
2132,895.5333063,272.9585518
4765,895.93389,273.0806497
4444,895.9451571,273.0840839
3624,896.1239316,273.1385743
2874,896.1332549,273.1414161
2784,896.1898835,273.1586765
5699,896.353981,273.2086934
5046,896.4102532,273.2258452
567,896.6838288,273.309231
1692,896.7052576,273.3157625
2531,896.73664,273.3253279
1208,896.8092984,273.3474741
5081,896.8119392,273.3482791
2821,896.8917873,273.3726168
6134,896.9792421,273.399273
2055,897.066623,273.4259067
2257,897.1194961,273.4420224
3505,897.3626266,273.5161286
490,897.9681756,273.7006999
2795,898.0218879,273.7170714
5914,898.2226753,273.7782714
892,898.2559662,273.7884185
6224,898.5007545,273.86303
4931,898.6566016,273.9105322
216,898.9972148,274.0143511
6194,899.0716852,274.0370496
839,899.3067227,274.1086891
1,899.390554,274.1342409
3371,899.5688594,274.1885883
2109,899.6121376,274.2017795
3462,899.8184395,274.2646604
2161,899.8927312,274.2873045
3916,899.9398041,274.3016523
1874,900.129611,274.3595054
1659,900.3541501,274.427945
5916,900.5911928,274.5001956
2473,900.7892386,274.5605599
665,900.881369,274.5886413
2988,901.1524954,274.6712806
3469,901.4017755,274.7472612
6228,901.9138414,274.9033389
1359,902.1328377,274.9700889
3829,902.2565262,275.0077892
1170,902.2683748,275.0114006
2591,902.3989446,275.0511983
2765,902.4491508,275.0665012
210,902.8513577,275.1890938
3295,902.8920567,275.2014989
74,902.9760939,275.2271134
5537,902.9930787,275.2322904
5110,903.0693641,275.2555422
4469,903.4701601,275.3777048
3236,903.5262637,275.3948052
1985,903.7435839,275.4610444
1911,903.7844318,275.4734948
826,903.8364112,275.4893381
1987,904.0478315,275.5537791
2899,904.0825678,275.5643667
3123,904.4221146,275.6678605
3388,904.4731806,275.6834255
3179,904.5396672,275.7036906
4219,904.9442403,275.8270044
1929,905.0586923,275.8618894
952,905.1020392,275.8751016
2019,905.4912226,275.9937247
3146,905.515781,276.00121
4992,905.5838324,276.0219521
768,905.684568,276.0526563
5654,906.4394626,276.2827482
85,906.4455939,276.284617
1322,906.7645226,276.3818265
1989,906.9812154,276.4478745
566,907.0146507,276.4580655
2640,907.0182467,276.4591616
3122,907.1639917,276.5035847
2124,907.3817216,276.5699487
6100,907.5197057,276.6120063
5453,907.7515071,276.6826594
5149,908.0106186,276.7616365
1201,908.0540163,276.7748642
5737,908.0686443,276.7793228
3708,908.3714131,276.8716067
5965,908.5528833,276.9269188
690,908.6580671,276.9589789
2841,908.7074918,276.9740435
2169,909.4213886,277.1916392
3879,909.572146,277.2375901
3550,909.7275684,277.2849628
6155,909.8743103,277.3296898
2633,910.0895495,277.3952947
4877,910.213381,277.4330385
3351,910.2999901,277.459437
2116,910.3029295,277.4603329
3754,910.3472045,277.4738279
84,910.4218756,277.4965877
6182,910.503991,277.5216165
5232,910.5135472,277.5245292
3124,910.540549,277.5327593
2813,910.6397929,277.5630089
3897,910.9881961,277.6692022
3877,911.1209938,277.7096789
3848,911.4759759,277.8178775
4843,911.6141391,277.8599896
5256,911.6947655,277.8845645
5363,912.4804344,278.1240364
2729,912.6775763,278.1841252
3626,912.871124,278.2431186
4372,912.9554785,278.2688298
1276,913.1114162,278.3163597
46,913.4077601,278.4066853
150,913.6863295,278.4915932
3527,913.7380319,278.5073521
1237,913.983303,278.5821108
3346,914.0003942,278.5873201
2389,914.1657063,278.6377073
