FID,distance(m),nearest station
227,619.4037801,0
228,633.6316262,0
229,115.9592288,0
230,404.3451925,0
231,280.4455397,0
232,280.231488,0
233,509.7826555,0
234,147.9196455,0
235,89.81579499,0
236,361.3743718,0
237,489.6751187,0
238,61.19362268,0
239,486.1126983,0
240,243.8934132,0
241,86.7671255,0
242,430.3040524,0
243,324.1733864,0
244,550.5885352,0
245,504.9070284,0
246,168.2534647,0
247,516.8296477,0
248,98.02528913,0
249,188.602799,0
250,661.6009097,0
251,151.7669186,0
252,222.9404245,0
253,63.46503224,0
254,295.5817769,0
255,453.6813647,0
256,546.7096598,0
257,275.4610444,0
258,318.8595526,0
259,275.553779,0
260,276.8658702,0
261,358.7751477,0
262,666.3435004,0
263,150.5740624,0
264,199.6436977,0
265,554.4691918,0
266,847.7868192,0
267,287.3114916,0
268,141.13433,0
269,410.9784303,0
270,225.7084164,0
271,529.5508238,0
272,318.2067002,0
273,600.1919966,0
274,562.828301,0
275,493.2626635,0
276,499.9624137,0
277,82.45607904,0
278,385.2390938,0
279,313.0284226,0
280,382.8436051,0
281,407.9147581,0
282,375.5219954,0
283,772.0337478,0
284,607.1089281,0
285,418.4057927,0
286,610.4542124,0
287,275.9937246,0
288,293.6361901,0
289,298.6170443,0
290,307.7051207,0
291,502.1990166,0
292,232.1147856,0
293,509.0863427,0
294,374.5793901,0
295,478.7662727,0
296,143.6877317,0
297,366.7520752,0
298,237.3651361,0
299,302.9926241,0
300,425.8143225,0
301,312.3835084,0
302,36.98327519,0
303,612.0702729,0
304,320.5936223,0
305,648.9171258,0
306,393.5526893,0
307,128.8258755,0
308,307.0720164,0
309,603.412713,0
310,453.7963563,0
311,488.5332571,0
312,116.8185436,0
313,328.6132721,0
314,345.1224269,0
315,273.4259067,0
316,70.76877935,0
317,555.288126,0
318,644.9774545,0
319,331.061244,0
320,262.25392,0
321,232.8383167,0
322,197.7051124,0
323,325.7603779,0
324,230.5280901,0
325,346.0658762,0
326,213.4177072,0
327,497.7529472,0
328,402.9569855,0
329,309.7055963,0
330,295.3083206,0
331,50.22621069,0
332,331.5413415,0
333,540.2922199,0
334,356.4547471,0
335,131.9907121,0
336,296.0181064,0
337,381.8130647,0
338,233.270097,0
339,219.8493605,0
340,585.5117703,0
341,358.0975853,0
342,314.8864733,0
343,51.82459213,0
344,557.5898839,0
345,556.3163825,0
346,323.1032549,0
347,237.199737,0
348,125.3648749,0
349,371.016714,0
350,196.3596922,0
351,343.6948977,0
352,138.0721037,0
353,220.6620655,0
354,256.2302853,0
355,324.3248455,0
356,434.9030296,0
357,510.3966989,0
358,449.6996441,0
359,553.1524908,0
360,280.5019674,0
361,237.9947874,0
362,558.2757113,0
363,367.2518683,0
364,492.1682815,0
365,310.7123498,0
366,232.2426159,0
367,277.4603329,0
368,570.7595228,0
