OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
1935,644,2,6318.665189103747300
1936,645,0,770.465040518379170
1937,645,1,4537.781621041696800
1938,645,2,7200.971855345260300
1939,646,0,1868.162655266235600
1940,646,1,5575.162658755172700
1941,646,2,8227.183229018151900
1942,647,0,2456.650080831696900
1943,647,1,2598.009360345242400
1944,647,2,4933.516943483880800
1945,648,0,1192.415530977095600
1946,648,1,3758.670149088767600
1947,648,2,6340.432566376771300
1948,649,0,707.578602004072540
1949,649,1,3487.527782850427200
1950,649,2,6128.282386783517700
1951,650,0,1502.389322790822700
1952,650,1,5205.517861063024600
1953,650,2,7858.760606277946900
1954,651,0,482.940615916418950
1955,651,1,3594.336710773184200
1956,651,2,6245.157018351338600
1957,652,0,1579.640672683207900
1958,652,1,5247.593577773399400
1959,652,2,7895.448541639339100
1960,653,0,557.476805133256790
1961,653,1,3717.010961184803400
1962,653,2,6361.917512016127100
1963,654,0,1420.398307354713100
1964,654,1,3395.772882244739800
1965,654,2,5945.381108194210400
1966,655,0,526.425835105550960
1967,655,1,3312.621053882031000
1968,655,2,5972.646200587365500
1969,656,0,1254.614551502550300
1970,656,1,2661.197032379567600
1971,656,2,5300.401326491373800
1972,657,0,1582.992208930400200
1973,657,1,3195.096524999060900
1974,657,2,5722.283294389560100
1975,658,0,508.905859043166120
1976,658,1,3309.369434861405800
1977,658,2,5969.482433544163500
1978,659,0,717.598918331206850
1979,659,1,4411.336190215661200
1980,659,2,7070.159769127227300
1981,660,0,1853.248270988925000
1982,660,1,2844.380465036208500
1983,660,2,5336.111379364498100
1984,661,0,261.202520975991600
1985,661,1,3879.209301045446400
1986,661,2,6540.049933075000800
1987,662,0,1306.467599658102500
1988,662,1,3053.429532343904200
1989,662,2,5640.004709034245000
1990,663,0,1401.412239624549100
1991,663,1,3615.687846812345900
1992,663,2,6165.562147153908900
1993,664,0,540.642956672881950
1994,664,1,3430.428498076909400
1995,664,2,6084.577629917839700
1996,665,0,727.235085598469250
1997,665,1,3448.973259935780300
1998,665,2,6089.305994095883800
1999,666,0,1475.404677638794700
2000,666,1,2690.863468761246600
2001,666,2,5284.745565285560600
2002,667,0,462.951094221861690
2003,667,1,3897.714445407774300
2004,667,2,6551.430948799718000
2005,668,0,1628.940051778567500
2006,668,1,4484.516389971364300
2007,668,2,7037.566854980416800
2008,669,0,137.236740527427000
2009,669,1,3884.832453395547000
2010,669,2,6547.638503639098400
2011,670,0,1967.418159697076600
2012,670,1,2698.694824398956800
2013,670,2,5175.747969389235500
2014,671,0,507.211667085289890
2015,671,1,4003.077122228901800
2016,671,2,6656.695150399362300
2017,672,0,648.780082705697170
2018,672,1,4263.283298204054500
2019,672,2,6916.443499670614100
2020,673,0,1726.282557497221400
2021,673,1,2548.879196663577200
2022,673,2,5107.590357259588000
2023,674,0,676.945668159451090
2024,674,1,3152.040306330307900
2025,674,2,5811.512787364542400
2026,675,0,551.407468344419610
2027,675,1,3604.343377803866600
2028,675,2,6250.802811296897700
2029,676,0,1686.354790796289300
2030,676,1,5445.079826597539100
2031,676,2,8106.033317117437900
2032,677,0,1341.869400718512500
2033,677,1,3242.767882172707200
2034,677,2,5811.407581359405400
2035,678,0,1701.146422611223900
