FID,distance to SAS,distance to stations before,distance decreased
318,829.7370392,286.4836851,
319,836.4836926,485.7398873,-350.7438053
320,879.4072935,112.0584156,
321,900.2008096,368.4597349,-531.7410747
322,758.4323676,237.8364423,
323,916.1326351,541.5214813,-374.6111538
324,849.1477989,51.4158115,
325,906.1448192,112.462289,
326,796.7835272,519.8289013,-276.9546259
327,885.8902984,106.2843992,
328,871.7196203,73.41803849,
329,851.0495044,469.0596205,-381.9898839
330,834.8110884,247.1656316,
331,904.4574728,103.4883374,
332,862.1012107,268.0094754,
333,916.0818182,115.0757891,
334,921.4659072,120.9853812,
335,941.242939,254.5565489,
336,838.438297,226.4526959,
337,938.372156,296.908726,
338,710.21266,475.1268891,-235.0857709
339,942.4321645,242.2869386,
340,1006.823259,154.057522,
341,790.2717308,486.7374124,-303.5343184
342,1097.94392,114.9116045,
343,911.0036536,250.1759748,
344,790.4175195,212.9039812,
345,1046.460225,162.2707779,
346,1041.43793,105.6462872,
347,1021.798407,140.7002372,
348,877.7946681,148.7143301,
349,867.5240247,130.6612647,
350,761.9269293,47.99533706,
351,789.5735488,90.39735738,
352,865.6409481,326.4423124,
353,833.2820905,74.2064389,
354,923.5225162,521.5428039,-401.9797123
355,757.4209504,471.2461673,-286.1747831
356,783.2765615,260.4785293,
357,801.7759144,59.59312141,
358,912.5716027,106.4163349,
359,762.469728,192.7620735,
360,604.9616455,290.641773,
361,978.2253356,60.69335441,
362,822.5953739,25.76549284,
363,780.2459839,291.6564888,
364,1030.569511,177.5291592,
365,793.6231411,196.3706479,
366,838.1833703,334.9891291,
367,999.3210104,172.622175,
368,862.1640068,314.6971261,
369,939.5034575,145.2948734,
370,806.6351155,48.78559296,
371,873.127732,510.2488745,-362.8788575
372,856.3557577,59.30084583,
373,951.7071188,175.4859884,
374,842.3544632,517.6974389,-324.6570243
375,921.3178096,120.3706606,
376,1018.11213,65.13721402,
377,837.4813971,231.5482924,
378,874.4443646,517.0158975,-357.4284671
379,938.8527034,96.69040555,
380,789.9364156,251.5448377,
381,793.0571619,230.3510968,
382,904.1294774,115.0606241,
383,984.6900403,41.78820338,
384,910.3981453,256.0922839,
385,991.5323476,27.15617681,
386,1026.558107,202.4191083,
387,1004.276339,111.3251775,
388,926.6036489,114.9716869,
389,760.2500402,204.1013727,
390,830.3186224,280.9091287,
391,747.8831332,383.0669021,-364.8162311
392,792.6341142,499.5498563,-293.0842579
393,846.5862634,58.62521536,
